City_Name,Temp,Latitude,Longitude,Humidity,Wind_Speed,Cloudiness
liverpool,60.93,53.4106,-2.9779,82,9.22,43
orlik,32.49,52.5178,99.825,70,2.84,17
ponta delgada,61.52,37.7333,-25.6667,72,18.41,75
wilmington,68.56,34.2257,-77.9447,70,8.05,1
shahrud,72.63,36.4182,54.9763,42,6.85,1
kloulklubed,86.5,7.0419,134.2556,77,15.39,100
sobolevo,39.52,54.4299,31.8996,75,1.66,7
bagn,56.08,60.8225,9.5521,76,1.9,100
ugoofaaru,83.23,5.6667,73.0,68,18.99,69
yerbogachen,60.82,61.2767,108.0108,49,4.99,41
gat,68.11,31.61,34.7642,100,2.48,0
lagoa,60.04,39.05,-27.9833,71,16.46,79
alakurtti,41.63,66.9672,30.3491,71,3.8,100
inndyr,44.71,67.0338,14.0276,90,4.05,99
fort nelson,78.39,58.8053,-122.7002,24,4.61,75
porto torres,59.18,40.835,8.3972,63,5.26,84
cherskiy,63.95,68.75,161.3,22,10.42,99
bud,68.4,39.447,-86.1758,58,2.98,77
lakselv,46.4,70.0513,24.9718,81,11.5,90
mikkeli,44.71,61.6886,27.2723,93,1.14,0
kralendijk,82.38,12.15,-68.2667,74,18.41,20
pitea,51.89,65.3172,21.4794,67,0.94,99
tura,72.3,25.5198,90.2201,96,3.69,100
plyussa,42.76,58.4308,29.3654,92,3.18,96
saint anthony,73.69,45.0205,-93.218,28,1.01,1
vestmannaeyjar,45.46,63.4427,-20.2734,84,17.81,99
evensk,50.02,61.95,159.2333,56,2.51,37
baykit,56.1,61.67,96.37,58,5.14,59
etchoropo,95.41,26.7667,-109.6667,44,10.8,0
balkanabat,76.8,39.5108,54.3671,49,3.4,0
pyapon,81.28,16.2833,95.6833,81,3.22,84
ocos,84.56,14.5094,-92.1933,69,5.82,54
borogontsy,62.64,62.6683,131.1683,43,2.86,24
vendome,55.08,47.8,1.0667,95,8.68,0
yarega,39.34,63.4354,53.5765,67,8.63,23
clarksville,73.53,36.5298,-87.3595,50,3.67,1
rudnichnyy,38.05,59.617,52.4703,65,0.56,95
moose factory,58.12,51.2585,-80.6094,77,11.5,90
harnosand,44.6,62.6323,17.9379,69,6.85,100
lasa,53.15,46.6166,10.7002,76,3.74,4
oranjestad,81.91,12.524,-70.027,81,5.99,20
wattegama,78.8,6.7989,81.4808,94,6.91,0
olafsvik,44.82,64.8945,-23.7142,80,18.59,65
kosh-agach,51.73,50.0,88.6667,37,2.42,8
abu dhabi,86.02,24.4667,54.3667,79,10.87,0
mut,66.07,36.6439,33.4389,53,1.88,0
teya,56.26,60.3778,92.6267,53,9.55,52
centralia,80.87,46.7162,-122.9543,36,4.61,1
bathsheba,81.21,13.2167,-59.5167,61,16.67,20
illela,87.87,13.7292,5.2975,14,5.48,1
faranah,73.02,10.0404,-10.7434,93,6.22,88
west odessa,63.81,31.8424,-102.4988,82,20.71,20
kropotkin,61.0,45.4375,40.5756,85,8.61,85
jumla,54.37,29.2747,82.1838,88,2.48,24
santa maria,46.4,-29.6842,-53.8069,100,1.14,0
hirara,80.87,24.8,125.2833,89,8.05,75
vidim,52.39,56.4088,103.1106,60,9.48,59
zhangye,67.5,38.9342,100.4517,17,1.28,0
minsk,35.35,53.9,27.5667,72,2.04,93
thanh hoa,87.73,19.8,105.7667,65,3.91,99
west plains,65.77,36.7281,-91.8524,68,4.61,1
taoudenni,99.64,22.6783,-3.9836,11,7.23,59
murdochville,44.6,48.9583,-65.5006,93,5.75,100
shu,66.58,43.5983,73.7614,44,9.26,0
sturgis,64.76,41.7992,-85.4192,55,5.75,90
leshukonskoye,43.3,64.8989,45.7622,75,6.04,65
kologriv,40.82,58.8275,44.3178,67,1.43,98
victoria,80.33,22.2855,114.1577,96,1.01,100
praia da vitoria,59.25,38.7333,-27.0667,72,14.97,20
san vicente,49.5,-26.6167,-54.1333,59,2.84,0
robertsport,77.68,6.7533,-11.3686,84,4.25,100
lac du bonnet,75.58,50.2536,-96.0612,39,4.74,41
san jose,83.97,37.3394,-121.895,33,1.99,40
strezhevoy,42.78,60.7333,77.5889,89,13.58,100
sabya,87.8,17.1495,42.6254,70,3.13,0
kyzyl-suu,54.27,42.3414,78.0056,60,6.8,20
kuching,80.82,1.55,110.3333,89,3.44,20
buenos aires,62.6,-34.6132,-58.3772,48,8.05,95
aljezur,61.81,37.3191,-8.8033,77,6.42,64
nome,50.09,64.5011,-165.4064,61,9.22,1
ostrovnoy,35.89,68.0531,39.5131,92,13.89,100
naze,76.12,28.3667,129.4833,70,20.2,60
bulgan,36.52,48.8125,103.5347,73,4.03,55
karakol,53.15,42.4907,78.3936,57,4.47,5
nandu,81.48,22.8525,110.8233,87,1.52,100
milford,59.97,41.2223,-73.0565,55,3.44,1
tessaoua,85.42,13.7574,7.9874,10,7.31,2
vanimo,79.95,-2.6741,141.3028,86,7.67,100
bhatgaon,89.4,21.15,81.7,41,7.16,76
korla,77.34,41.7597,86.1469,20,3.91,81
abu kamal,85.69,34.4506,40.9171,20,8.72,7
hami,71.82,42.8,93.45,13,11.43,42
nizhniy kuranakh,63.34,58.8353,125.4869,58,5.35,15
kamaishi,61.75,39.2667,141.8833,78,4.41,99
alcaniz,59.65,41.05,-0.1333,67,8.88,94
badami,76.66,15.915,75.6768,77,7.14,62
kyra,42.93,49.5776,111.9753,47,18.03,18
hansi,84.58,29.1,75.9667,46,7.23,92
nouadhibou,66.18,20.931,-17.0347,88,17.27,0
korsakovo,37.65,53.2677,37.3569,92,6.67,34
fairbanks,67.62,64.8378,-147.7164,37,0.0,90
yumen,59.5,40.2833,97.2,18,7.54,9
faya,70.32,18.3851,42.4509,17,5.59,3
havre-saint-pierre,44.96,50.2334,-63.5986,93,3.44,90
eden,68.68,36.4885,-79.7667,68,0.0,1
husavik,46.31,66.0449,-17.3389,63,5.64,23
luba,75.09,3.4568,8.5547,88,6.4,100
mae sai,76.32,20.4335,99.8762,88,0.94,94
salalah,82.49,17.0151,54.0924,89,5.75,40
hofn,45.52,64.2539,-15.2082,85,2.89,74
barahona,79.25,18.2085,-71.1008,71,6.22,92
qom,83.93,34.6401,50.8764,15,6.62,31
bembereke,78.73,10.2283,2.6634,68,12.88,91
mehamn,41.34,71.0357,27.8492,97,10.4,100
bechem,73.15,7.0903,-2.025,97,3.42,71
timra,44.28,62.487,17.3257,81,6.91,100
bridlington,47.14,54.0831,-0.1919,87,8.84,2
brownsville,83.79,25.9018,-97.4975,73,4.0,40
banda aceh,80.19,5.5577,95.3222,76,10.29,99
gua musang,75.6,4.8823,101.9644,96,1.14,55
hovd,51.35,48.0056,91.6419,34,2.01,3
zhigansk,57.09,66.7697,123.3711,50,4.65,76
sakakah,81.97,29.9697,40.2064,13,3.15,6
hay river,75.18,60.8156,-115.7999,29,10.36,75
shimoda,70.11,34.6667,138.95,70,13.38,30
roald,48.4,62.5833,6.1333,93,3.44,99
pershotravneve,42.28,51.3929,28.8684,95,4.07,28
springdale,61.65,36.1867,-94.1288,83,5.75,75
ilulissat,32.02,69.2167,-51.1,80,4.61,95
konstantinovka,61.84,49.6167,127.9833,63,11.81,76
datong,61.18,40.0936,113.2914,32,6.22,0
celestun,82.89,20.8667,-90.4,73,20.09,41
tibati,67.46,6.4667,12.6333,96,5.82,100
dharapuram,75.04,10.7333,77.5167,75,14.65,100
arteaga,76.46,18.4667,-102.4167,57,8.79,99
adre,85.68,13.4667,22.2,25,6.22,73
aleksandrovsk-sakhalinskiy,51.06,50.8975,142.1561,61,8.46,43
jalu,76.53,29.0331,21.5482,36,15.1,0
mahon,64.96,39.8885,4.2658,94,5.75,0
zyryanka,60.49,65.75,150.85,31,16.04,37
marabba,94.15,12.35,32.1833,28,11.54,29
westport,59.54,41.1415,-73.3579,76,1.99,1
beringovskiy,36.18,63.05,179.3167,79,12.01,32
shakhtinsk,63.16,49.71,72.5872,59,7.23,68
yishui,74.73,35.7847,118.6281,66,4.56,100
gorontalo,81.19,0.5412,123.0595,83,4.74,99
san quintin,65.3,30.4833,-115.95,66,9.89,3
oriximina,79.18,-1.7656,-55.8661,77,4.38,30
yar-sale,41.07,66.8333,70.8333,75,13.87,20
ishigaki,82.53,24.3448,124.1572,83,6.91,75
ukiah,98.37,39.1502,-123.2078,15,11.5,1
cap-aux-meules,57.22,47.3821,-61.8597,94,19.57,90
pandan,84.61,14.0453,124.1694,79,6.33,93
srednekolymsk,65.84,67.45,153.6833,27,13.65,8
codrington,52.65,-38.2667,141.9667,45,12.71,100
yinchuan,70.41,38.4681,106.2731,19,10.8,11
touros,77.9,-5.1989,-35.4608,85,11.18,5
balykshi,68.0,47.0667,51.8667,83,6.71,40
marystown,48.85,47.1666,-55.1483,100,8.59,100
sergeyevka,50.86,53.88,67.4158,81,13.2,97
coos bay,67.12,43.3665,-124.2179,62,26.46,1
ohara,69.35,35.25,140.3833,75,8.46,80
half moon bay,74.32,37.4636,-122.4286,55,1.01,1
wake forest,66.29,35.9799,-78.5097,68,4.36,1
hearst,57.2,49.6835,-83.6665,88,3.74,99
matagami,66.31,49.7502,-77.6328,34,6.2,75
berbera,89.94,10.4396,45.0143,52,5.48,13
ardesen,71.56,41.1911,40.9875,75,9.33,56
priiskovyy,44.6,51.9333,116.6333,95,6.15,100
challans,63.52,46.8436,-1.8749,77,10.0,51
dalhousie,57.34,32.5333,75.9833,58,5.46,100
loum,72.45,4.7182,9.7351,97,2.51,100
nador,66.45,35.174,-2.9287,94,12.15,75
ixtapa,85.23,20.7,-105.2,54,9.22,75
katsuura,67.69,35.1333,140.3,76,8.75,84
saint-pierre,69.91,-21.3393,55.4781,66,6.91,75
akalkot,80.17,17.5333,76.2167,70,5.77,37
gboko,76.73,7.3179,8.9951,85,9.55,94
itum-kale,61.9,42.7356,45.5758,73,6.78,93
dezful,87.17,32.3811,48.4058,11,4.65,0
morristown,70.54,36.214,-83.2949,51,0.0,1
jiaocheng,76.32,24.6774,116.1389,96,2.06,100
provideniya,48.31,64.3833,-173.3,57,11.18,0
carutapera,76.15,-1.195,-46.02,91,5.06,22
outlook,77.56,51.5001,-107.0513,31,6.4,98
gadarwara,86.72,22.9167,78.7833,44,8.41,72
lieksa,41.77,63.3167,30.0167,95,1.68,28
balti,51.15,47.7617,27.9289,93,11.52,100
pervomayskoye,66.34,43.919,46.7102,66,6.8,53
camacha,60.21,33.0833,-16.3333,82,5.75,40
jeremie,79.88,18.65,-74.1167,79,2.84,99
barsovo,39.33,61.1667,73.1667,86,6.35,69
namatanai,82.38,-3.6667,152.4333,78,2.91,91
champoton,86.02,19.35,-90.7167,72,15.59,51
marsaxlokk,66.81,35.8419,14.5431,88,5.75,20
pochutla,82.81,15.7432,-96.4661,69,5.68,78
kolpashevo,62.62,58.3131,82.9089,80,12.17,66
guerrero negro,67.87,27.9769,-114.0611,57,15.19,0
kaduqli,88.61,11.0167,29.7167,32,2.57,19
charlestown,56.86,-32.95,151.6667,80,3.0,100
hamilton,69.22,39.1834,-84.5333,56,2.64,1
tay ninh,83.98,11.3,106.1,78,6.42,76
peniche,60.75,39.3558,-9.3811,92,4.07,98
basco,84.0,20.4487,121.9702,74,4.41,97
sal rei,72.16,16.1833,-22.9167,88,11.95,58
high level,77.11,58.5169,-117.136,31,7.0,75
xiongzhou,76.93,25.1167,114.3,95,2.28,99
stavern,52.7,59.0,10.0333,97,8.5,100
anadyr,48.7,64.75,177.4833,46,2.95,0
san cristobal,73.58,7.7669,-72.225,85,1.45,63
aykhal,55.65,66.0,111.5,49,15.37,100
sundsvall,44.56,62.3913,17.3063,81,3.22,100
nyaunglebin,79.0,17.95,96.7333,86,4.0,99
sangar,55.11,63.9242,127.4739,55,4.54,63
lincoln,72.46,40.8,-96.667,47,1.01,20
leesburg,65.39,39.1157,-77.5636,62,1.01,1
usinsk,42.89,65.9939,57.5281,75,21.03,99
abalak,39.85,58.1286,68.5944,83,9.01,22
batticaloa,79.36,7.7102,81.6924,76,5.93,100
giera,52.0,45.4072,20.9922,92,6.96,84
los llanos de aridane,61.83,28.6585,-17.9182,68,8.05,0
coaticook,50.58,45.1334,-71.7991,98,2.24,100
yelovo,45.21,57.0538,54.9207,72,6.8,98
exeter,54.27,50.7236,-3.5275,80,3.27,81
goderich,66.43,43.7501,-81.7165,30,3.44,89
zaysan,66.52,47.4667,84.8667,39,5.95,18
ryotsu,62.56,38.0833,138.4333,76,8.75,27
goure,87.03,13.9835,10.2704,13,3.87,45
shingu,69.91,33.7333,135.9833,61,4.85,97
uzyn,44.62,49.8262,30.4149,93,7.29,40
teguldet,53.85,57.3064,88.1667,58,8.88,25
tatvan,57.54,38.5067,42.2817,41,5.97,9
bording,44.01,56.1465,9.2753,97,6.6,90
norden,49.82,53.6,7.2,79,1.01,1
kodinsk,54.05,58.6881,99.1844,53,2.93,1
karpathos,67.1,35.507,27.2132,82,10.71,12
dakar,73.4,14.6937,-17.4441,88,6.91,75
kushmurun,54.54,52.4503,64.6311,75,18.16,94
yuanlin,78.85,30.4151,112.8859,73,4.21,32
oistins,80.69,13.0667,-59.5333,61,18.41,20
marshfield,63.43,44.6689,-90.1718,72,18.41,90
rapid valley,72.84,44.0625,-103.1463,33,1.01,1
dustlik,79.39,40.5247,68.0358,24,7.54,71
pemangkat,79.9,1.1667,108.9667,84,4.45,91
palasa,84.02,18.7667,84.4167,87,6.8,86
petatlan,84.0,17.5167,-101.2667,68,5.48,99
verkhnevilyuysk,65.88,63.4453,120.3167,41,7.49,35
shieli,79.77,44.1667,66.75,30,5.75,57
upata,72.19,8.0086,-62.3989,92,6.8,81
ust-tsilma,44.62,65.441,52.1498,80,7.52,73
leh,43.48,34.1667,77.5833,95,4.9,100
sinnamary,77.72,5.3833,-52.95,90,12.26,100
karlskrona,59.45,56.1616,15.5866,93,11.7,100
rimbey,72.48,52.6334,-114.2353,50,5.66,47
progreso,84.11,21.2833,-89.6667,80,18.25,9
bardiyah,68.88,31.7561,25.0865,75,9.71,25
kaita,74.39,34.3667,132.55,58,1.63,100
leninskoye,73.33,41.7589,69.3864,32,6.49,77
ljubinje,54.75,42.9508,18.0886,79,6.15,1
haines junction,55.35,60.7522,-137.5108,62,4.61,100
ketchikan,55.38,55.3422,-131.6461,98,9.86,100
nanga eboko,69.37,4.6833,12.3667,99,2.44,100
kemin,61.97,42.7846,75.6892,56,7.25,2
santa fe,59.7,-31.6333,-60.7,52,3.0,60
kushuhum,54.28,47.7144,35.2092,94,18.84,75
tres palos,79.41,18.1833,-101.6167,63,7.83,81
muhororo,64.18,0.9381,30.7594,89,3.71,94
kyren,39.34,51.6828,102.1408,63,2.3,60
severo-yeniseyskiy,53.62,60.3725,93.0408,53,9.17,82
nieuw amsterdam,77.02,5.8833,-55.0833,90,9.28,75
agadir,63.05,30.4202,-9.5982,85,4.27,1
coalinga,100.33,36.1397,-120.3602,36,4.52,3
idenao,74.64,4.2475,9.0047,97,1.95,100
swiecie,45.37,53.4095,18.4474,76,1.43,100
matara,79.48,5.9485,80.5353,82,13.78,100
khartoum,93.02,15.5518,32.5324,23,8.5,24
wetaskiwin,74.26,52.9668,-113.3687,48,6.91,65
san jeronimito,84.04,17.55,-101.3333,70,6.4,75
pacific grove,61.27,36.6177,-121.9166,79,4.0,1
payo,72.79,-3.7508,103.6372,92,1.34,95
ginda,60.76,30.6945,78.4932,74,4.92,96
mnogovershinnyy,57.92,53.9353,139.9242,56,4.99,36
lohardaga,76.86,23.4333,84.6833,60,6.44,77
ust-uda,37.02,54.1742,103.0304,97,7.29,98
payakumbuh,69.84,-0.2202,100.6308,92,3.33,99
pedernales,81.1,18.0384,-71.744,68,4.94,95
ternate,83.41,0.8,127.4,75,9.66,97
khani,56.77,41.9563,42.9566,92,5.82,20
kitimat,57.9,54.0524,-128.6534,96,3.96,100
nedjo,60.87,9.5046,35.5019,72,1.63,29
luorong,78.06,24.4058,109.6086,93,2.77,100
freeport,61.03,40.6576,-73.5832,77,4.0,1
gol,56.62,60.7014,8.9457,75,2.66,100
vestmanna,45.52,62.1564,-7.1664,100,11.61,75
asyut,87.15,27.181,31.1837,26,9.95,0
rosarito,66.4,32.3333,-117.0333,72,6.08,20
muroto,69.84,33.2833,134.15,73,6.76,100
xichang,69.22,27.8964,102.2634,84,1.34,94
shrewsbury,58.24,52.7101,-2.7521,83,6.08,75
vanavara,56.84,60.34,102.2797,49,4.54,11
bilibino,61.39,68.0546,166.4372,30,2.51,21
dukat,40.91,62.55,155.55,54,8.52,59
golcuv jenikov,43.34,49.8163,15.4769,84,0.56,0
huilong,75.97,31.8111,121.655,85,19.1,23
kidal,91.51,18.4411,1.4078,7,9.1,0
terrasini,64.81,38.146,13.0844,73,8.05,0
jauharabad,80.08,32.2898,72.2813,50,8.72,2
belen,64.54,36.4891,36.2233,73,3.13,0
klamath falls,85.62,42.2249,-121.7817,18,5.01,1
zhanaozen,69.49,43.3,52.8,52,7.83,0
